price,sqft_living
672500,1860
390000,2154
950000,2750
925000,2710
571900,1710
1680000,5170
359950,893
381156,1320
835000,3130
399000,1940
452500,2040
595500,2490
330000,2980
656000,1440
315000,1160
554950,2950
160797,1270
680000,3000
440000,1390
503045,1560
805000,3320
551000,3090
245000,1700
719950,3240
342000,1260
447000,1800
448500,1830
329000,1850
269950,1890
696500,2540
1060000,3880
1590000,3240
3100000,5090
550000,2250
585083,2910
555000,2080
390000,1300
452000,1260
564000,1980
390000,1140
603000,1790
370000,2490
587100,1190
351358,1210
189950,1910
1230000,3490
323000,2100
261500,1410
630000,3800
625000,1600
450000,1400
415000,1460
338500,2130
728725,3010
455000,3030
270000,1540
430000,1570
620000,2500
425000,1320
486000,3560
264000,1820
498000,2360
595000,2660
5570000,9200
405000,1330
440000,1040
665000,1260
364000,1650
465000,1494
615000,3120
343000,1100
298000,2420
950000,3050
702000,3280
260000,2025
545000,2040
950000,4040
580000,1990
552100,1330
338000,690
449950,3100
823000,2920
1330000,2850
260000,1100
545000,2660
538000,1460
320000,1530
2.00E+05,1040
365000,680
375000,2000
599950,3730
860000,3960
1150000,2490
325000,1220
515000,1600
989990,3830
347950,1700
330000,520
590000,2520
1730000,3700
362865,2245
314900,2700
358000,2390
550000,2260
1280000,5844
1020000,2720
394000,1160
343000,2473
289000,1961
638150,2170
210000,1440
1740000,4870
708000,1120
858000,3070
324500,1590
599950,1970
402000,1720
690000,2360
490000,1440
403900,2050
460000,1830
379900,1140
580000,1570
225000,960
202950,1060
235000,1920
279000,1110
625000,2180
550000,900
191950,1390
3300000,6200
142500,690
319950,1240
289950,2070
481500,1840
560000,1360
762000,2130
206000,1140
465000,1430
449950,2320
630000,2950
870300,2350
475000,2270
540000,2110
545000,1940
339000,1979
455000,1350
835000,1570
265000,1320
595000,2360
245000,910
260000,2250
1500000,1910
423000,1700
933399,3940
378500,1830
333490,2250
765000,2560
2300000,3280
248000,1870
350000,940
350000,2140
265000,1450
419900,2750
519000,2570
265000,2600
645000,1740
460000,2860
320000,1490
174500,1240
207500,1320
210000,2180
3.00E+05,2360
251750,1320
215000,1847
451000,2260
621500,2570
267500,1747
360000,2020
1460000,4620
265000,1940
275000,910
345000,2020
832500,3430
625000,1600
432000,2200
575000,1520
415000,1920
419190,1590
265000,760
283200,1830
430000,1320
785200,1840
316000,2600
425000,620
524950,1830
660000,1870
650000,2960
450000,1810
353000,2170
343000,1040
330000,2060
1080000,3280
4.00E+05,1050
272000,1528
5.00E+05,2110
1290000,3100
549000,1140
1730000,3470
307300,1520
580000,1320
375000,750
585000,1670
723000,1960
332000,1000
507000,1180
187000,1730
760000,3810
360000,2850
709950,3910
287450,1440
347500,1830
450000,2150
322000,1380
669000,2700
315000,1780
5.00E+05,1980
580500,2320
218000,1310
5.00E+05,1800
773000,2470
397000,2020
509000,2130
6.00E+05,3050
165000,1000
868000,2020
620000,1770
310000,2370
470101,2320
605000,1550
760000,2590
425000,1900
5.00E+05,1480
